기간,자치구,동,합계
2015,강남구,신사동,37
2015,강남구,논현1동,45
2015,강남구,논현2동,30
2015,강남구,삼성1동,14
2015,강남구,삼성2동,27
2015,강남구,대치1동,7
2015,강남구,대치4동,25
2015,강남구,역삼1동,85
2015,강남구,역삼2동,25
2015,강남구,도곡1동,7
2015,강남구,도곡2동,15
2015,강남구,개포1동,12
2015,강남구,개포4동,14
2015,강남구,일원본동,4
2015,강남구,일원1동,11
2015,강남구,일원2동,7
2015,강남구,수서동,19
2015,강남구,세곡동,11
2015,강남구,압구정동,33
2015,강남구,청담동,35
2015,강남구,대치2동,24
2015,강남구,개포2동,17
2015,송파구,소계,278
2015,송파구,풍납1동,10
2015,송파구,풍납2동,6
2015,송파구,거여1동,3
2015,송파구,거여2동,8
2015,송파구,마천1동,10
2015,송파구,마천2동,11
2015,송파구,방이1동,8
2015,송파구,방이2동,25
2015,송파구,오륜동,6
2015,송파구,오금동,22
2015,송파구,송파1동,16
2015,송파구,송파2동,4
2015,송파구,석촌동,19
2015,송파구,삼전동,14
2015,송파구,가락본동,24
2015,송파구,가락1동,8
2015,송파구,가락2동,11
2015,송파구,문정1동,10
2015,송파구,문정2동,11
2015,송파구,장지동,8
2015,송파구,위례동,3
2015,송파구,잠실본동,15
2015,송파구,잠실4동,4
2015,송파구,잠실6동,8
2015,송파구,잠실2동,8
2015,송파구,잠실3동,6
2015,강동구,소계,264
2015,강동구,강일동,15
2015,강동구,상일동,21
2015,강동구,명일1동,11
2015,강동구,명일2동,13
2015,강동구,고덕1동,3
2015,강동구,고덕2동,9
2015,강동구,암사2동,5
2015,강동구,암사3동,10
2015,강동구,천호1동,12
2015,강동구,천호3동,20
2015,강동구,성내1동,12
2015,강동구,성내2동,19
2015,강동구,성내3동,20
2015,강동구,둔촌1동,8
2015,강동구,둔촌2동,11
2015,강동구,암사1동,15
2015,강동구,천호2동,29
2015,강동구,길동,31
,,,
